Clone,Col,Row,border position,Blk,Plot,DBH15a,DBH15b,DBH15c,DBH15d,DBH15e,DBH14a,DBH14b,DBH14c,DBH14d,DBH14e,Ht14a(ft),Ht14b(ft),Ht14c(ft),Ht14d(ft),Ht14e(ft),DBH13a,DBH13b,DBH13c,DBH13d,DBH13e,DBH12a,DBH12b,DBH12c,DBH12d,DBH12e,Ht12a(ft),Ht12b(ft),Ht12c(ft),Ht12d(ft),Ht12e(ft),DBH11a,DBH11b,DBH11c,DBH11d,DBH11e,DBH10a,DBH10b,DBH10c,DBH10d,DBH10e,DBH09a,DBH09b,DBH09c,DBH09d,DBH09e,DBH09f,DBH08a,DBH08b,DBH08c,DBH08d,DBH08e,DBH08f,Ht08(ft),DBH07a,DBH07b,DBH07c,DBH07d,DBH07e,Canker14,Canker13,Notes2014,"Canker Scoring: _1-clean_2-few on branches, small stem, healing ",Notes11,Notes10,Notes,LeafSpot08yr4,LeafRust08yr4,Canker08yr4
NM6,1,21,1,5,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,
80XAA04,2,1,1,1,10,11.5,,,,,10.2,,,,,52,,,,,9.4,,,,,8.3,,,,,44.7,,,,,7.7,,,,,6.4,,,,,5.3,,,,,,4.0,,,,,,23.9,3.2,,,,,2,0,,,,,,,1,
80XAA04,2,2,2,1,10,7.9,,,,,7.6,,,,,50,,,,,6.8,,,,,6,,,,,38.2,,,,,5.1,,,,,4.2,,,,,3.3,,,,,,2.5,,,,,,18.1,1.8,,,,,1,0,,,,,,,1,
80XAA04,2,3,2,1,10,8.1,,,,,7.2,,,,,49,,,,,6.4,,,,,5.7,,,,,38.9,,,,,5.2,,,,,4.3,,,,,3.4,,,,,,2.7,,,,,,21.0,1.9,,,,,1,0,,,,,,,1,
80XAA04,2,4,2,1,10,3.1,,,,,3.2,,,,,32,,,,,3,,,,,2.8,,,,,32.8,,,,,2.6,,,,,2.2,,,,,2.1,,,,,,1.7,,,,,,15.5,1.2,,,,,1,0,,,,,,,1,
84XAA04,2,5,2,1,9,6.1,5.4,,,,5.6,4.9,4.6,,,47,45,45,,,4.7,4.5,4.4,1.4,,4.1,4,3.9,,,45.6,42.5,42.5,,,,,,,,3.3,3.1,3.1,1.2,,2.5,2.4,2.4,1.1,,,2.2,1.8,1.8,0.7,0.4,,19.4,1.5,1.3,1.2,0.5,,1,0,,,,,,,1,
84XAA04,2,6,2,1,9,7.2,,,,,6.5,,,,,45,,,,,6,,,,,5.4,,,,,39.5,,,,,,,,,,4.5,1.1,,,,4.1,1.1,,,,,3.4,1.1,,,,,23.3,2.6,0.6,,,,1,0,,,,,,,1,
84XAA04,2,7,2,1,9,5.7,5.4,3.3,,,5.4,5.4,3.2,,,47,42,34,,,5.1,5,3,,,5,4.3,,,,34.6,33.6,33.6,,,,,,,,4.1,3.1,2.6,,,3.3,2.8,2.2,,,,2.8,2.0,2.0,,,,19.4,2.1,1.4,1.3,,,1,0,,,,,,,1,
84XAA04,2,8,2,1,9,4.1,3.8,,,,3.9,3.7,,,,37,34,,,,3.4,3.3,,,,3.2,2.7,,,,27.6,24.9,,,,,,,,,2.5,2.5,,,,2.1,2.0,,,,,1.5,1.3,,,,,13.8,0.9,0.8,,,,1,0,,,,,,,1,
18XAG04,2,9,2,4,8,4.9,1.6,,,,4.9,1.5,,,,38,,,,,4.2,1.4,,,,3.6,1.4,,,,33.1,,,,,,,,,,2.8,1.2,0.8,,,2.3,1.0,0.8,,,,1.8,0.7,0.8,,,,14.7,1.4,0.6,0.5,,,1,0,,,,,,,1,1
