Ord,Blk,Plot,Col,Row,Clone,1DBH15,2DBH15,3DBH15,Plus Tree 15,Root collar Weevil 15,Notes 2015,1DBH14,2DBH14,3DBH14,1HT14,2HT14,3HT14,RCW14,Stems14,Status14,1DBH13,2DBH13,3DBH13,1HT13,2HT13,3HT13,1DBH12,2DBH12,3DBH12,1HT12,1HT11,1HT10
48,2,23,6,3,73,,,,0,,Died 2015,1.7,,,19,,,0,1,1,1.1,,,12.6,,,0.8,,,10,5.6,2.1
49,2,23,6,4,73,4.4,,,0,1,4.3/4.6,3.6,,,29,,,0,1,1,2.4,,,20.6,,,1.1,,,13.5,7.2,2.3
50,3,22,6,5,69,4.9,,,0,1,4.7/5.2,4.2,,,31,,,0,1,1,2.9,,,22,,,1.7,,,15,9.5,5.0
51,3,22,6,6,69,,,,0,,,,,,,,,0,0,0,,,,,,,,,,,,
52,4,21,6,7,71,3.9,2.9,,0,1,"huge exposed root, 3.8/4.0, 2.8/3.0",3.5,2.5,,27,25,,0,2,1,2.7,1.7,,20,18,,2,0.8,,15,9.3,4.4
53,4,21,6,8,71,,,,0,,,,,,,,,0,0,0,,,,,,,,,,,,
54,5,103,6,9,76,3.8,,,0,1,,3.2,,,24,,,0,1,1,2.1,,,16,,,0.9,,,9.4,5.5,2.7
55,1,25,7,1,72,4.6,,,0,1,,3.9,,,29,,,0,1,1,2.8,,,23,,,1.6,,,14.5,8.9,2.3
56,1,25,7,2,72,3.5,3.1,,0,4,,3.2,2.8,,31,28,,0,2,1,2.3,1.9,,22,20,,1.3,1,,14,8.0,3.0
57,2,26,7,3,70,4.6,,,1,1,,3.9,,,28,,,0,1,1,2.7,,,22,,,1.5,,,14,7.7,3.5
58,2,26,7,4,70,5.1,,,1,1,,4.2,,,31,,,0,1,1,2.9,1.2,,24,20,,1.6,0.9,,16.5,9.6,3.5
59,3,27,7,5,66,4.3,4.3,,0,2,,3.7,3.8,,30.5,30.5,,0,2,1,2.6,2.5,,22,21,,1.6,1.4,,15,8.2,3.9
60,3,27,7,6,66,4.5,,,0,2,,3.7,,,29,,,0,1,1,2.4,,,20,,,1.6,,,14,8.1,3.1
61,4,28,7,7,76,2.7,,,0,1,,2.4,,,22,,,0,1,1,1.6,,,14.5,,,1,,,9.4,9.5,1.8
62,4,28,7,8,76,2.8,2.6,,0,3,,2.6,2.3,,23,21.5,,0,2,1,2.1,1.6,,16,16,,1.1,0.8,,10.6,6.8,1.9
63,5,103,7,9,76,4.0,2.9,,0,2,,3.5,2.5,,26,20,,0,2,1,2.2,1.6,,19,15,,1.3,,,13,7.2,2.7
64,1,32,8,1,76,4.2,,,0,2,4.0/4.4,3.5,,,23,,,0,1,1,1.9,,,15,,,0.8,,,8,4.8,2.0
65,1,32,8,2,76,3.2,,,0,1,3.1/3.4,2.9,,,24,,,0,1,1,2.1,,,16.5,,,0.7,,,9,5.0,2.1
66,2,31,8,3,65,2.7,,,0,3,2.5/2.9,2.4,,,23,,,0,1,1,1.9,,,17.5,,,0.8,,,10.8,5.5,2.4
67,2,31,8,4,65,3.7,,,0,3,,3.3,,,29,,,0,1,1,2.6,,,20,,,1.5,,,13,7.9,4.2
68,3,30,8,5,68,5.0,,,1,1,4.7/5.4,3.9,,,31,,,0,1,1,3.2,,,24,,,2.2,,,14.5,9.8,4.5
69,3,30,8,6,68,3.7,3.4,,0,1,3.3/3.6,3.3,2.9,,29,28,,0,2,1,2.4,2.1,,21.5,21,,1.4,1.4,,15.5,9.0,3.6
70,4,29,8,7,75,6.0,,,1,1,5.7/6.3,4.8,,,33,,,0,1,1,3.4,,,23,,,2.2,,,16.6,9.3,4.8
71,5,102,8,8,75,,,,0,,,,,,,,,0,0,0,,,,,,,,,,,,
72,4,29,8,9,75,3.5,,,0,3,,2.9,,,24,,,0,1,1,2.2,,,17,,,1.2,,,11.6,7.2,2.8
73,1,33,9,1,66,6.4,2.7,,1,4,"Recovering from severe RCW, 6.3/6.5, 2.6/2.8",5.4,2.1,,29,23,,0,2,1,3.8,1.6,,22,19,,2.1,1,,14,8.7,3.5
