Col,Row,stems2015,Y7 MAI BA sfpa Blks,Y7 MAI BA sfpa DZ,"Yr7 MAI BA15
PA(sf)",Yr7 BA15 PA(sf),Yr7BA15AI,Y7 1DBH15 (in),Y7 2DBH5 (in),Y7 3DBH15 (in),"Root collar Weevil
 (1,2,3)",Plus Tree,Y6 MAI BA sfpa Blks,Y6 MAI BA sfpa DZ,"Yr6 MAI BA14
PA(sf)",Yr6 BA14 PA(sf),Yr6BA14AI,Yr6 1HT MAI,Y6 1DBH14 (in),Y6 2DBH14 (in),Y6 3DBH14 (in),Y6 1HT14 (ft),Y6 2HT14 (ft),Yr6 3HT14 (ft),Notes14,DC DBH,DC Ht,"Yr5 MAI BA13
PA(sf)",Yr5BA13AI,Yr5 BA13 PA(sf),Yr5 1HT MAI,Yr5 1DBH13 (in),Yr5 2DBH13 (in),Yr5 3DBH13 (in),Yr5 1HT13 (ft),Yr5 2HT13 (ft),Yr5 3HT13 (ft),"Yr4 MAI BA12
PA(sf)",Yr4BA12AI,Yr4 BA12 PA(sf),Yr4 1DBH12 (in),Yr4 2DBH12 (in),Yr4 3DBH12 (in),Yr4 1HT12 (ft),Yr4 2HT12 (ft),Yr4 3HT12 (ft),"Yr3 MAI BA11
PA(sf)",Yr3 BA11 PA(sf),Yr3 1DBH11 (in),Yr3 2DBH11 (in),Yr3 3DBH11 (in),Yr3 1Ht11 (ft) ,Yr3 2Ht11 (ft) ,Yr3 3Ht11 (ft),Yr2 Ht10 (ft)
9,4,1,10.3,10.3,10.3,71.8,20.2,4.6,,,1,0,8.6,8.6,8.6,51.6,23.1,5.2,3.9,,,31.0,,,,1,4,5.7,15.0,28.5,5.4,2.9,,,27.0,,,3.4,,13.6,2.0,,,19.5,,,2.2,6.7,1.4,,,15.7,,,11.2
9,5,1,17.5,17.5,17.5,122.2,53.5,6.0,,,1,1,11.5,11.5,11.5,68.7,22.3,5.7,4.5,,,34.0,,,,0.8,8.5,9.3,26.9,46.5,5.1,3.7,,,25.5,,,4.9,,19.5,2.4,,,19.5,,,2.9,8.7,1.6,,,14.1,,,10.5
9,6,1,10.3,10.3,10.3,71.8,20.2,4.6,,,1,0,8.6,8.6,8.6,51.6,21.1,5.0,3.9,,,30.0,,,,0.9,3,6.1,17.0,30.5,5.4,3.0,,,27.0,,,3.4,,13.6,2.0,,,19.5,,,2.5,7.6,1.5,,,15.4,,,10.0
9,7,2,14.2,14.2,14.2,99.7,35.2,4.3,3.3,,1,0,10.8,10.8,10.8,64.5,37.1,5.0,3.5,2.6,,30.0,30.0,,,1.3,9,5.5,16.8,27.4,4.2,2.2,1.8,,21.0,18.5,,2.7,,10.6,1.3,1.2,,15.0,14.0,,0.8,2.5,0.7,0.5,,10.2,9.8,,5.9
9,8,1,0.5,0.5,0.5,3.4,2.2,1.0,,,1,0,0.2,0.2,0.2,1.2,0.4,2.2,0.6,,,13.0,,,,0.1,4,0.2,0.5,0.8,1.8,0.5,,,9.0,,,0.1,,0.3,0.3,,,8.3,,,0.0,0.1,0.2,,,6.6,,,3.6
9,9,2,7.1,7.1,7.1,49.7,10.9,3.2,2.1,,3,0,6.5,6.5,6.5,38.9,13.7,4.0,2.8,1.9,,24.0,,,,0.6,6,5.0,16.8,25.1,3.6,2.2,1.6,,18.0,,,2.1,,8.3,1.2,1.0,,13.7,,,0.8,2.5,0.7,0.5,,8.9,8.9,,2.5
10,1,3,18.2,18.2,18.2,127.3,43.2,3.7,3.5,3.4,1,0,14.0,14.0,14.0,84.0,38.7,4.2,3.0,3.0,2.6,25.0,,,,0.6,2,9.1,29.0,45.4,4.6,2.4,2.0,1.9,23.0,,,4.1,,16.4,1.4,1.2,1.2,14.7,,,0.7,2.2,0.8,,,10.8,,,7.1
10,2,1,13.1,13.1,13.1,91.8,29.0,5.2,,,1,0,10.5,10.5,10.5,62.8,23.5,5.3,4.3,,,32.0,,,,0.9,5,7.8,19.7,39.2,5.4,3.4,,,27.0,,,4.9,,19.5,2.4,,,23.0,,,3.3,9.8,1.7,,,16.1,,,12.1
10,3,2,15.7,15.7,15.7,110.0,36.6,4.9,2.9,,1,0,12.2,12.2,12.2,73.5,32.2,5.0,4.1,2.2,,30.0,26.0,,,1,5,8.3,25.6,41.3,5.0,3.1,1.6,,25.0,21.0,,3.9,,15.7,2.0,0.8,,17.0,15.0,,1.9,5.7,1.3,,,13.8,,,10.2
10,4,2,16.7,16.7,16.7,117.1,38.5,4.3,4.0,,1,0,13.1,13.1,13.1,78.5,30.9,4.8,3.5,3.3,,29.0,,,,0.8,3,9.5,24.7,47.7,5.2,2.7,2.6,,26.0,25.0,,5.7,,22.9,2.6,,,16.7,16.7,,1.1,3.4,1,,,13.8,,,8.2
